Category,Data.Carbohydrate,Data.Fiber,Data.Kilocalories,Data.Protein,Data.Sugar Total,Data.Water,Data.Fat.Saturated Fat,Data.Fat.Total Lipid
MILK,-0.622984625,-0.4573698,-0.913705361,-0.730130398,-0.459118213,1.057417142132351,-0.157835037,-0.403138036
MILK,-0.621878849,-0.4573698,-0.995542363,-0.728237625,-0.100787667,1.1107763590529258,-0.311500594,-0.505974152
MILK,-0.611189687,-0.4573698,-0.989696862,-0.71120267,-0.459118213,1.095484388350078,-0.320831901,-0.509016641
MILK,-0.592022912,-0.4573698,-0.960469362,-0.666722508,-0.086624384,1.0580678642899188,-0.315263217,-0.505365655
MILK,-0.610452503,-0.4573698,-1.042306363,-0.72161292,-0.090873392,1.1299726627011812,-0.405415684,-0.566823926
MILK,-0.611189687,-0.4573698,-1.036460863,-0.71120267,-0.459118213,1.1263936908345575,-0.409780328,-0.566823926
MILK,-0.590917137,-0.4573698,-1.007233363,-0.668615281,-0.459118213,1.091580055,-0.391117714,-0.554653971
MILK,-0.611558278,-0.4573698,-1.089070364,-0.72161292,-0.098663163,1.1599058819493087,-0.493009567,-0.620980224
MILK,-0.609346727,-0.4573698,-1.071533864,-0.702685192,-0.103620317,1.1449392723252447,-0.476303517,-0.610635763
MILK,-0.589442769,-0.4573698,-1.048151863,-0.665776122,-0.459118213,1.1117524422892775,-0.476303517,-0.610635763
MILK,-0.617824339,-0.4573698,-1.053997364,-0.727291239,-0.11990807,1.1368052453556448,-0.418208605,-0.572300405
MILK,-0.629987869,-0.4573698,-0.931241861,-0.747165353,-0.143277449,1.0740105571503349,-0.176497651,-0.41530799
MILK,0.6217499328167556,-0.4573698,1.611550683,1.4503438950510803,2.261644452740664,-1.715309971,2.0190686,0.9994492394908093
MILK,1.1215604332222537,-0.4573698,0.8282536690967293,2.381588124390664,3.2219137717055526,-1.692860057,-0.425583348,-0.57899388
MILK,1.1293008613258788,-0.4573698,0.8048716686913684,2.281271164726035,3.236785133266303,-1.666831171,-0.430399506,-0.582036369
MILK,1.1149257805620039,-0.4573698,0.781489668,2.319126621203253,-0.459118213,-1.636247229,-0.482022705,-0.613678251
MILK,1.011720072513671,-0.4573698,0.9743911716302329,2.2055602517715966,3.010881187658588,-1.699041917,0.040831501,-0.274136516
MILK,1.2107596523211699,-0.4573698,0.5885881649417828,-0.291953489,3.3932893932428954,-0.911993468,0.32498485172330704,-0.096455178
MILK,-0.424313637,-0.4573698,-0.504520354,-0.396055995,0.2518775795872101,0.6132992695922026,0.1902829189848515,-0.16582392
MILK,-0.376028109,-0.4573698,-0.83186836,-0.3260234,0.3446469810667852,0.7876928078204222,-0.48247422,-0.613678251
MILK,-0.413255882,-0.265096541,-0.802640859,-0.740540649,0.2164694225774217,0.8820475206677794,-0.184022899,-0.419567474
MILK,-0.347277947,-0.289130703,-0.84355936,-0.757575604,0.21717760193738617,0.8778178266435879,-0.32354099,-0.510233637
MILK,-0.409569964,-0.337199015,-0.919550861,-0.733915944,0.2447959212467265,0.9536269580002579,-0.407974268,-0.564998433
MILK,-0.40256672,-0.217028229,-0.83771386,-0.707417124,0.22567555150985114,0.8908322697949471,-0.285312732,-0.484068234
MILK,-0.630356461,-0.4573698,-0.884477861,-0.703631579,-0.143985628,1.0359433109326075,-0.09928861,-0.373930144
MILK,-0.540420058,-0.4573698,-0.87863236,-0.943067341,0.028806183,1.0512352816354553,-0.198320869,-0.359326199
MILK,-0.603449258,-0.4573698,-0.720803858,-0.685650237,-0.459118213,0.9175118782552347,0.19118594870153383,-0.206593268
MILK,-0.596814606,-0.4573698,-0.656503357,-0.474606067,-0.459118213,0.829989748,0.19208897841821615,-0.199899793
MILK SHAKES,-0.014808131,-0.385267326,-0.592202856,-0.751897286,1.0174019669437844,0.5534328310959482,-0.247686494,-0.461553818
MILK SHAKES,-0.140129348,-0.4573698,-0.633121356,-0.675239986,0.7978713656947747,0.6266390738223462,-0.216832978,-0.441473393
WHEY,-0.605660809,-0.4573698,-1.147525365,-0.968619774,-0.096538692,1.2438490402755782,-0.492106537,-0.620371726
WHEY,1.9129270588642928,-0.4573698,0.6938071667659056,0.06956612,4.742339856373317,-1.681472419,-0.449212625,-0.592989328
WHEY,-0.604923626,-0.4573698,-1.129988865,-0.960102296,-0.095122367,1.2340882079120588,-0.46606918,-0.603942287
WHEY,1.9501548321245838,-0.4573698,0.7756441681846677,0.18313248947617877,4.813864484657937,-1.691883974,-0.397739932,-0.560738948
YOGURT,-0.622616033,-0.4573698,-0.931241861,-0.712149056,-0.129114199,1.064249724786815,-0.185226938,-0.428086443
YOGURT,-0.534891181,-0.4573698,-0.919550861,-0.543692275,0.039428636820316665,0.9721725394909451,-0.350180366,-0.531531057
YOGURT,-0.511301305,-0.4573698,-0.960469362,-0.498265727,0.084751068,0.9773783167514891,-0.483226745,-0.614895247
